"","id","nc","c1.x","c1.y","c2.x","c2.y","c3.x","c3.y","c4.x","c4.y","c5.x","c5.y","dc.km.1_2","dc.km.1_3","dc.km.1_4","dc.km.1_5","dc.km.2_3","dc.km.2_4","dc.km.2_5","dc.km.3_4","dc.km.3_5","dc.km.4_5","o.1_2","o.1_3","o.1_4","o.1_5","o.2_3","o.2_4","o.2_5","o.3_4","o.3_5","o.4_5","p.1_2","p.1_3","p.1_4","p.1_5","p.2_3","p.2_4","p.2_5","p.3_4","p.3_5","p.4_5","dur1.td","dur2.td","dur3.td","dur4.td","dur5.td"
"32","year1.C1087g","3",708772.782215979,4775072.25887056,710466.422276796,4780920.06028504,706187.493113648,4780445.82617928,NA,NA,NA,NA,6.08811941725883,5.96313217730319,NA,NA,4.30512865897247,NA,NA,NA,NA,NA,0,2.26401895137264e-05,NA,NA,0.000426906424246906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.0625,47.30625,25.8576388888889,NA,NA
"33","year1.C1239pk","2",725103.659162682,4760058.91420653,726074.482622904,4758292.32566305,NA,NA,NA,NA,NA,NA,2.01577113603177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414809133635233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1972222222222,209.159027777778,NA,NA,NA
"34","year1.C1809gy","2",708722.163948157,4769667.08646745,702112.360479628,4778190.74528166,NA,NA,NA,NA,NA,NA,10.7862070012442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.791666666667,6.66666666666667,NA,NA,NA
"35","year1.C1813gy","3",738750.61635466,4770521.15101746,772519.976127623,4803869.80330292,722336.426078989,4856289.76334653,NA,NA,NA,NA,47.4605338015903,87.3251424462623,NA,NA,72.5688700921953,NA,NA,NA,NA,NA,8.49577704036373e-05,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0006944444444,49.875,127.999305555556,NA,NA
"36","year1.C1815gy","2",728460.174000597,4779620.12147267,717863.640022059,4775433.27592392,NA,NA,NA,NA,NA,NA,11.3936915882202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.709027777778,102.874305555556,NA,NA,NA
"37","year1.C1816gy","2",750598.201776145,4760120.90471674,740800.866573307,4748786.02536828,NA,NA,NA,NA,NA,NA,14.982231706952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.291666666667,235.499305555556,NA,NA,NA
"38","year1.C1822gy","2",692872.06269057,4764978.12399561,696399.150452111,4777054.7771218,NA,NA,NA,NA,NA,NA,12.5811723940146,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.250694444444,260.126388888889,NA,NA,NA
"39","year1.C1833gy","4",725064.861871226,4774211.86458574,729543.461269591,4779413.12447031,736156.902388483,4779150.42980429,745039.788529677,4779563.93909457,NA,NA,6.86374219780119,12.141778669306,20.6795163521431,NA,6.61865635311298,15.497061127922,NA,8.89250561599749,NA,NA,0,0,0,NA,2.17290904584955e-05,0,NA,0.000454431363605504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.75,163.120138888889,112.871527777778,9.25,NA
"40","year1.C1835gy","2",741230.321026876,4777153.26934325,741270.799537775,4776055.38104394,NA,NA,NA,NA,NA,NA,1.0986342556071,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00652484748499707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.752777777778,119.090972222222,NA,NA,NA
"41","year1.C2001we","2",742039.304979054,4765372.44544723,753533.18933256,4774056.91696445,NA,NA,NA,NA,NA,NA,14.4058815441865,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.000694444444,226.334027777778,NA,NA,NA
